pk_SpecimenID,RT.OldID,SiteName,SpeciesCode,SciName,Guild,FishLevel,CollNotes,Weight (g),TL,FL,SL,GapeHeight,GapeWidth,log2biomass,PreySizeInStomach,SizeClass,StomachContents,DissNotes
1529,KIF11_162,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,663.00,323.0,NA,265.0,58.3,65.2,9.373,,512 - 1024 g,"fish bones, otoliths (feather-like) and goo",
1530,KIF11_163,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,528.40,294.0,NA,247.0,60.0,61.6,9.045,,512 - 1024 g,two fish - minimum TL 39mm and 45mm,
1625,KIF11_258,15,CE.ARGU,Cephalopholis argus,AP,LP.LF,,400.70,278.0,NA,231.0,60.2,63.0,8.646,89,256 - 512 g,"5 Pt. tile, tls 89, 86, 77, 60, 39",
1701,KIF11_430,30,CE.ARGU,Cephalopholis argus,AP,HP.HF,,354.00,271.0,NA,224.0,66.6,66.2,8.468,,256 - 512 g,fish paste,
1719,KIF11_448,30,CE.ARGU,Cephalopholis argus,AP,HP.HF,,301.30,253.0,NA,206.0,58.0,60.3,8.235,,256 - 512 g,snot,
1865,KIF11_498,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,336.70,260.0,NA,212.0,42.1,36.5,8.395,,256 - 512 g,empty,ID'd by RT on 5-Dec-11
2047,KIF11_1088,27,CE.ARGU,Cephalopholis argus,AP,HP.HF,,244.70,248.0,NA,205.0,45.4,49.3,7.935,,128 - 256 g,stomach empty,
2376,KIF12.082,2,CE.ARGU,Cephalopholis argus,AP,LP.MF,,390.00,283.0,NA,243.0,70.8,72.1,8.607,NA,256 - 512 g,empty gut,
2379,KIF12.085,24,CE.ARGU,Cephalopholis argus,AP,LP.MF,,300.00,256.2,NA,210.0,59.0,62.0,8.229,40mm,256 - 512 g,digested fish matter; 40mm length - chunks of remains,See photos of prey items
2380,KIF12.086,24,CE.ARGU,Cephalopholis argus,AP,LP.MF,,460.00,308.0,NA,255.0,65.0,73.0,8.845,NA,256 - 512 g,gut shot; empty,
2388,KIF12.094,40,CE.ARGU,Cephalopholis argus,AP,HP.MF,,370.00,287.0,NA,239.0,59.3,62.7,8.531,NA,256 - 512 g,gut shot,
2465,KIF12.171,40,CE.ARGU,Cephalopholis argus,AP,HP.MF,,380.00,138.6,NA,134.2,63.9,66.5,8.570,30.1mm,256 - 512 g,"shrimp, see photo",
2483,KIF12.189,19,CE.ARGU,Cephalopholis argus,AP,LP.LF,,320.00,256.0,NA,211.1,61.3,67.3,8.322,,256 - 512 g,snot,
2487,KIF12.193,19,CE.ARGU,Cephalopholis argus,AP,LP.LF,,305.00,268.0,NA,225.0,63.5,67.3,8.253,,256 - 512 g,empty gut,
2503,KIF12.209,33,CE.ARGU,Cephalopholis argus,AP,HP.MF,,240.00,246.0,NA,198.0,51.7,55.1,7.907,,128 - 256 g,digested fish(?) - white paste,
2504,KIF12.210,33,CE.ARGU,Cephalopholis argus,AP,HP.MF,,200.00,231.1,NA,189.7,50.6,55.9,7.644,,128 - 256 g,yellow snot,
2579,KIF12.285,24,CE.ARGU,Cephalopholis argus,AP,LP.MF,,1100.00,398.0,NA,330.0,96.1,99.7,10.103,,1.02 - 2.05 kg,empty stomach,
2594,KIF12.300,3,CE.ARGU,Cephalopholis argus,AP,LP.MF,,295.00,262.0,NA,204.0,40.0,61.0,8.205,,256 - 512 g,empty stomach,
2666,KIF12.372,15,CE.ARGU,Cephalopholis argus,AP,LP.LF,,200.60,221.0,NA,182.0,61.0,57.2,7.648,,128 - 256 g,mushed fish remains,
1395,KIF11_028,9,CE.UROD,Cephalopholis urodeta,Pi,HP.MF,,137.70,204.0,NA,172.0,37.2,43.9,7.105,,128 - 256 g,empty,
1398,KIF11_031,9,CE.UROD,Cephalopholis urodeta,Pi,HP.MF,,62.40,151.6,NA,123.8,29.0,31.1,5.963,,32 - 64 g,empty,sat out on ice for 36 hours before dissection
